timestamp_human;timestamp;component;topic;check;check_id;error_sequence_count;error_count;warning_count;success_count;check_count;is_periodic;severity;error_message
2021-10-08 16:23:17.875869989;1.633.702.997.875.860.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;418;835;1252;1668;3755;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:23:17.909199715;1.633.702.997.909.190.000;Plausibility;/extern/plausibility;/system_checker_state/state;7;65;1154;0;128;1282;0;2;Error: |MAD[11.200] - 6.667| > 3.500
2021-10-08 16:23:18.398826122;1.633.702.998.398.820.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;419;419;0;3337;3756;0;2;Cycletime 131 ms is out the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:18.398896456;1.633.702.998.398.890.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;419;419;0;3337;3756;0;2;header/seq current value 1 is not stable 9 with a tolerance of 2
2021-10-08 16:23:18.425880671;1.633.702.998.425.880.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;214;1069;1283;0;0;Success: I stay in success for 6 seconds
2021-10-08 16:23:18.541860104;1.633.702.998.541.860.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;419;2488;0;1269;3757;0;0;Timestamps difference 1966.28 ms is in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:18.542181730;1.633.702.998.542.180.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;418;836;1252;1669;3757;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:23:18.731386662;1.633.702.998.731.380.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;419;419;0;3338;3757;0;0;Cycletime 359 ms is in the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:18.731448889;1.633.702.998.731.440.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;419;419;0;3338;3757;0;0;header/seq current value 2 is stable 1 with a tolerance of 2
2021-10-08 16:23:18.908946991;1.633.702.998.908.940.000;Plausibility;/extern/plausibility;Plausibility_Status;7;65;1155;0;128;1283;0;2;Error: 1 bad signals of 3
2021-10-08 16:23:19.540751219;1.633.702.999.540.750.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;420;2489;0;1271;3760;0;2;Timestamps difference 1891.10 ms is not in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:19.882212639;1.633.702.999.882.210.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;418;836;1253;1672;3761;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:23:20.875840902;1.633.703.000.875.840.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;419;837;1255;1672;3764;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:23:21.408513784;1.633.703.001.408.510.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;420;420;0;3345;3765;0;2;Cycletime 135 ms is out the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:21.408581734;1.633.703.001.408.580.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;420;420;0;3345;3765;0;2;header/seq current value 1 is not stable 9 with a tolerance of 2
2021-10-08 16:23:21.545230150;1.633.703.001.545.230.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;420;2494;0;1272;3766;0;0;Timestamps difference 1969.51 ms is in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:21.545694351;1.633.703.001.545.690.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;419;838;1255;1673;3766;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:23:21.733532429;1.633.703.001.733.530.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;420;420;0;3346;3766;0;0;Cycletime 356 ms is in the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:21.733581305;1.633.703.001.733.580.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;420;420;0;3346;3766;0;0;header/seq current value 2 is stable 1 with a tolerance of 2
2021-10-08 16:23:22.541622639;1.633.703.002.541.620.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;421;2495;0;1274;3769;0;2;Timestamps difference 1891.14 ms is not in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:22.876922846;1.633.703.002.876.920.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;419;838;1256;1676;3770;0;1;general/vehicle_speed current value 5.01 is larger than warn threshold 5.00 but smaller than error threshold 8.00.
2021-10-08 16:23:23.428633690;1.633.703.003.428.630.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;215;1073;1288;0;1;Error: I stay in error for 1 second
2021-10-08 16:23:23.881566048;1.633.703.003.881.560.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;420;839;1258;1676;3773;0;2;general/vehicle_speed current value 8.01 is larger than error threshold 8.00.
2021-10-08 16:23:24.401961088;1.633.703.004.401.960.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;421;421;0;3353;3774;0;2;Cycletime 134 ms is out the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:24.402040720;1.633.703.004.402.040.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;421;421;0;3353;3774;0;2;header/seq current value 1 is not stable 9 with a tolerance of 2
2021-10-08 16:23:24.424657106;1.633.703.004.424.650.000;Alternate;/extern/alternate;Alternate_status_cpp;7;0;0;215;1074;1289;0;0;Success: I stay in success for 6 seconds
2021-10-08 16:23:24.541686535;1.633.703.004.541.680.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;421;2500;0;1275;3775;0;0;Timestamps difference 1966.13 ms is in range of delta 2000 ms +/- 100 ms
2021-10-08 16:23:24.541810751;1.633.703.004.541.810.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Threshold general/vehicle_speed;10;420;840;1258;1677;3775;0;0;general/vehicle_speed current value 1.01 is smaller than warn threshold 5.00.
2021-10-08 16:23:24.731492043;1.633.703.004.731.490.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Cycletime t3;4;421;421;0;3354;3775;0;0;Cycletime 356 ms is in the range of the expected 350 ms with a tolerance of 50 ms
2021-10-08 16:23:24.731538057;1.633.703.004.731.530.000;hella5g rear right;/radar_hella5g5_node_rear_right/radar_scan;Check for timestamp sequence;9;421;421;0;3354;3775;0;0;header/seq current value 2 is stable 1 with a tolerance of 2
2021-10-08 16:23:25.541856050;1.633.703.005.541.850.000;hella5g rear right2;/radar_hella5g5_node_rear_right2/radar_scan;Timestamps deviation t3ros;2;422;2501;0;1277;3778;0;2;Timestamps difference 1891.11 ms is not in range of delta 2000 ms +/- 100 ms
